00001;16009;00050.000;St                  ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00032;508641;00002.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00033;2782;00006.000;Btl 500g            ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00034;2753;00005.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00035;2828;00005.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00036;10438;00001.000;Pck 1kg             ;PCK;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00037;2927;00008.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00038;2911;00005.000;Pck 1kg             ;PCK;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00039;2912;00017.000;Pck 1kg             ;PCK;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00040;2756;00009.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00041;2778;00018.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00042;2771;00008.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00043;2924;00025.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00044;2776;00008.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00045;2776;00001.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00046;2815;00035.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00047;59899;00008.000;Btl 5kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00048;32443;00019.000;Eim 5kg             ;EIM;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00049;14382;00002.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00050;2779;00008.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00051;2801;00039.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00052;2800;00077.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00053;2804;00021.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00054;2884;00029.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00055;2889;00035.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00056;2868;00003.000;kg                  ;KG ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00057;2864;00005.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00058;2879;00003.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00059;2922;00001.000;Fl 1kg              ;FL ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00060;2947;00003.000;Fl 1Ltr             ;FL ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00061;2923;00007.000;Fl 1kg              ;FL ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00062;2887;00009.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00063;2886;00007.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00064;2882;00028.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00065;2878;00002.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00066;2866;00008.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00067;2874;00020.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00068;2872;00009.000;Btl 1 Kg            ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00069;2890;00010.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00070;2881;00024.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00071;2871;00007.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00072;51882;00132.000;Ds 800g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00073;14805;00007.000;Pck 1kg             ;PCK;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00074;31823;00002.000;Btl 2kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00075;31823;00006.000;Btl 2kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00076;77299;00036.000;Pck 250St           ;PCK;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00077;2924;00012.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00078;2189;00001.000;Kan 30Ltr           ;KAN;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00079;2789;00019.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00080;2934;00033.000;Btl 2kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00081;2795;00019.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00082;21021;00031.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00083;8023;00002.000;Sac 25kg            ;SAC;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00084;49316;00012.000;Box 1200ml          ;BOX;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00085;49266;00006.000;Box 1200ml          ;BOX;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00086;49275;00006.000;Box 1200ml          ;BOX;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00087;82469;00006.000;Ds 1200ml           ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00088;49200;00012.000;Box 1200ml          ;BOX;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00089;81943;00006.000;Ds 1200ml           ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00090;100919;00006.000;Ds 1200ml           ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00091;82608;00006.000;Ds 1200ml           ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00092;72966;00012.000;St 105g             ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00093;79803;00003.000;Box 470ml           ;BOX;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00094;62508;00006.000;Ds 470ml            ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00095;62497;00005.000;Ds 470ml            ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00096;103904;00006.000;Ds 1600ml           ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00097;103904;00006.000;Ds 1600ml           ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00098;19595;00007.000;Btl 100g            ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00099;33969;00005.000;Btl 100g            ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00100;33967;00006.000;Btl 100g            ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00101;50545;00006.000;Pck 90g             ;PCK;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00102;50557;00009.000;Pck 80g             ;PCK;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00103;50580;00008.000;Pck 100g            ;PCK;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00104;50562;00006.000;Pck 45g             ;PCK;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00105;50559;00008.000;Pck 70g             ;PCK;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00106;50580;00002.000;Pck 100g            ;PCK;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00107;50522;00003.000;Pck 60g             ;PCK;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00108;50587;00003.000;Pck 80g             ;PCK;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00109;50550;00005.000;Pck 70g             ;PCK;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00110;50583;00066.000;Pck 100g            ;PCK;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00111;100853;00072.000;Ds 1g               ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00112;50653;00004.000;Gl 10g              ;GL ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00113;50616;00001.000;Gl 45g              ;GL ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00114;50607;00001.000;Gl 70g              ;GL ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00115;50615;00002.000;Gl 6g               ;GL ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00116;50624;00001.000;Gl 5x0,1g           ;GL ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00117;50618;00001.000;Gl 45g              ;GL ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00118;50611;00001.000;Gl 8g               ;GL ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00119;50625;00001.000;Gl 5x0,1g           ;GL ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00120;50677;00001.000;Gl 26g              ;GL ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00121;50667;00001.000;Gl 21g              ;GL ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00122;50667;00001.000;Gl 21g              ;GL ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00123;50638;00001.000;Gl 12g              ;GL ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00124;50625;00001.000;Gl 5x0,1g           ;GL ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00125;50601;00001.000;Gl 45g              ;GL ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00126;50658;00001.000;Gl 80g              ;GL ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00127;50600;00021.000;Gl 45g              ;GL ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00128;50662;00003.000;Gl 16g              ;GL ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00129;50667;00003.000;Gl 21g              ;GL ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00130;50653;00008.000;Gl 10g              ;GL ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00131;50638;00008.000;Gl 12g              ;GL ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00132;98317;00008.000;Pck 20g             ;PCK;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00133;100837;00024.000;Btl 200g            ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00134;100837;00030.000;Btl 200g            ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00135;77411;00008.000;Ds 150g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00136;77392;00005.000;Ds 900g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00137;53172;00005.000;Ds 350g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00138;57851;00001.000;Ds 500g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00139;77375;00010.000;Ds 500g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00140;105367;00026.000;Ds 300g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00141;105369;00016.000;Ds 100g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00142;102576;00017.000;Ds 350g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00143;77340;00007.000;Ds 550g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00144;105368;00002.000;Ds 50g              ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00145;77339;00003.000;Ds 600g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00146;105368;00012.000;Ds 50g              ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00147;76466;00001.000;Ds 500g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00148;102576;00006.000;Ds 350g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00149;53167;00002.000;Ds 325g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00150;77377;00006.000;Ds 500g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00151;66792;00004.000;Ds 700g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00152;54577;00002.000;Ds 60g              ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00153;77393;00007.000;Ds 800g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00154;77394;00002.000;Ds 220g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00155;77395;00009.000;Ds 450g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00156;77392;00002.000;Ds 900g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00157;77390;00005.000;Ds 500g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00158;77400;00007.000;Ds 100g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00159;54698;00007.000;Ds 500g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00160;102581;00019.000;Ds 350g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00161;54662;00001.000;Ds 90g              ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00162;77980;00007.000;Ds 175g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00163;54603;00005.000;Ds 70g              ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00164;77425;00006.000;Ds 300g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00165;77423;00005.000;Ds 1,1kg            ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00166;77415;00004.000;Ds 100g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00167;77421;00008.000;Ds 1kg              ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00168;77416;00003.000;Ds 500g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00169;77417;00004.000;Ds 600g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00170;102575;00002.000;Ds 250g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00171;77419;00004.000;Ds 600g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00172;55923;00005.000;Ds 900g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00173;57872;00007.000;Ds 1,6kg            ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00174;56100;00005.000;Ds 1000g            ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00175;73034;00001.000;Pck 500g            ;PCK;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00176;57906;00022.000;Ds 1,7kg            ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00177;55804;00003.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00178;57909;00008.000;Ds 700g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00179;55978;00001.000;Ds 500g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00180;55822;00003.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00181;55822;00006.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00182;55931;00006.000;Ds 500g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00183;57908;00004.000;Ds 900g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00184;57908;00006.000;Ds 900g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00185;77421;00046.000;Ds 1kg              ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00186;103335;00006.000;Btl 250g            ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00187;17368;00002.000;Eim 10kg            ;EIM;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00188;105213;00001.000;Ds 350g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00189;2896;00001.000;Eim 10kg            ;EIM;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00190;107630;00004.000;Pck 145g            ;PCK;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00191;511122;00014.000;Pck 490g            ;PCK;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00192;98527;00005.000;St 290g             ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00193;98527;00005.000;St 290g             ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00194;98527;00005.000;St 290g             ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00195;103104;00015.000;St 250g             ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00196;509943;00056.000;St 100g             ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00197;509608;00084.000;St 100g             ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00198;509945;00028.000;St 100g             ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00199;509945;00014.000;St 100g             ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00200;509608;00004.000;St 100g             ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00201;509942;00042.000;St 100g             ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00202;509944;00028.000;St 100g             ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00203;93027;00040.000;Tafel 100g          ;TAF;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00204;71727;00053.000;Taf 100g            ;TAF;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00205;71727;00048.000;Taf 100g            ;TAF;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00206;95173;00096.000;Taf 100g            ;TAF;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00207;40796;00040.000;Taf 100g            ;TAF;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00208;46655;00006.000;Tafel 100g          ;TAF;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00209;66763;00048.000;St 100g             ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00210;40210;00096.000;Taf 100g            ;TAF;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00211;82350;00031.000;Taf 100g            ;TAF;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00212;95169;00011.000;Taf 100g            ;TAF;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00213;510041;00004.000;Taf 100g            ;TAF;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00214;40210;00007.000;Taf 100g            ;TAF;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00215;71734;00032.000;Taf 100g            ;TAF;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00216;71731;00069.000;Taf 100g            ;TAF;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00217;71724;00129.000;Taf 100g            ;TAF;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00218;31748;00029.000;Ds 1000St           ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00219;85857;00002.000;Eim 6kg             ;EIM;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00220;49221;00006.000;Box 470ml           ;BOX;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00221;49221;00003.000;Box 470ml           ;BOX;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00222;82609;00003.000;Ds 470ml            ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00223;72966;00036.000;St 105g             ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00224;102313;00003.000;Eim 2,5kg           ;EIM;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00225;42864;00012.000;Eim 3kg             ;EIM;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00226;49201;00001.000;Eim 2kg             ;EIM;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00227;8949;00011.000;St 100g             ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00228;32502;00033.000;St 40g              ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00229;8949;00001.000;St 100g             ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00230;506236;00024.000;St 25g              ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00231;16274;00006.000;St 175g             ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00232;34809;00001.000;Ds 90x7g St         ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00233;506233;00002.000;St 700g             ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00234;34809;00003.000;Ds 90x7g St         ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00235;506233;00002.000;St 700g             ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00236;32502;00024.000;St 40g              ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00237;16274;00006.000;St 175g             ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00238;506237;00027.000;St 100g             ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00239;32504;00012.000;St 100g             ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00240;506234;00024.000;St 25g              ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00241;16274;00012.000;St 175g             ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00242;506234;00048.000;St 25g              ;ST ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00243;65905;00016.000;Ds 450g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00244;25161;00024.000;Gl 50g              ;GL ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00245;25545;00013.000;Fl 750ml            ;FL ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00246;25545;00006.000;Fl 750ml            ;FL ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00247;25816;00010.000;Btl 250g            ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00248;50111;00004.000;Ds 200g             ;DS ;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00249;100820;00012.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00250;50106;00010.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00251;100836;00010.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00252;100849;00002.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00253;100817;00005.000;Btl 400g            ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00254;84570;00002.000;Pck 400g            ;PCK;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00255;100817;00001.000;Btl 400g            ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00256;97004;00010.000;Btl 500g            ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00257;100848;00040.000;Btl 500g            ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00258;101512;00010.000;Btl 500g            ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00259;100851;00010.000;Btl 500g            ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00260;100834;00080.000;Btl 250g            ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00261;50106;00028.000;Btl 1kg             ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
00262;100816;00007.000;Btl 250g            ;BTL;carina knecht;maria cascio;gewuerzraum                   ;10003 ;
